,,,,VAR ETAT SYSTEME,,,VAR STATS,
HS,TYPE EVT TRAITE, ECHEANCIER, ETAT GUICHET(0=LIBRE/1=OCCUPE),NB CLIENT DANS LA QUEUE,QUEUE,NB CLIENTS RECUS, ATTENTE GLOBALE AVANT SERVICE
1.0,Deb,ArrCl 12.613365,0,0,,0,0.0,
12.613365,ArrCl,AccFA 12.613365  |   ArrCl 16.659885,0,0,,1,0.0,
12.613365,AccFA,AccSrv 12.613365,0,0,,1,0.0,
12.613365,AccSrv,DepCl 17.773365,1,1,,1,0.0,
16.659885,ArrCl,AccFA 16.659885  |   ArrCl 16.773739,0,0,,2,0.0,
16.659885,AccFA,,1,0,,2,0.0,
16.773739,ArrCl,AccFA 16.773739  |   ArrCl 24.030619,1,0,,3,0.0,
16.773739,AccFA,,1,1,,3,0.0,
17.773365,DepCl,AccSrv 17.773365,0,0,,3,0.0,
17.773365,AccSrv,DepCl 22.933365,0,2,,3,1.1134796,
22.933365,DepCl,AccSrv 22.933365,0,1,,3,1.1134796,
22.933365,AccSrv,DepCl 28.093365,0,1,,3,7.2731056,
24.030619,ArrCl,AccFA 24.030619  |   ArrCl 25.734093,1,1,,4,7.2731056,
24.030619,AccFA,,1,0,,4,7.2731056,
25.734093,ArrCl,AccFA 25.734093  |   ArrCl 31.797472,1,0,,5,7.2731056,
25.734093,AccFA,,1,1,,5,7.2731056,
28.093365,DepCl,AccSrv 28.093365,0,0,,5,7.2731056,
28.093365,AccSrv,DepCl 33.253365,0,2,,5,11.335852,
31.797472,ArrCl,AccFA 31.797472  |   ArrCl 32.4801,1,1,,6,11.335852,
31.797472,AccFA,,1,1,,6,11.335852,
32.4801,ArrCl,AccFA 32.4801  |   ArrCl 33.43589,1,1,,7,11.335852,
32.4801,AccFA,,1,2,,7,11.335852,
33.253365,DepCl,AccSrv 33.253365,0,1,,7,11.335852,
33.253365,AccSrv,DepCl 38.413364,0,3,,7,18.855124,
33.43589,ArrCl,AccFA 33.43589  |   ArrCl 40.75016,1,2,,8,18.855124,
33.43589,AccFA,,1,2,,8,18.855124,
38.413364,DepCl,AccSrv 38.413364,0,2,,8,18.855124,
38.413364,AccSrv,DepCl 43.573364,0,3,,8,25.471016,
40.75016,ArrCl,AccFA 40.75016  |   ArrCl 44.17805,1,2,,9,25.471016,
40.75016,AccFA,,1,2,,9,25.471016,
43.573364,DepCl,AccSrv 43.573364,0,2,,9,25.471016,
43.573364,AccSrv,DepCl 48.733364,0,3,,9,36.56428,
44.17805,ArrCl,AccFA 44.17805  |   ArrCl 46.740993,1,2,,10,36.56428,
44.17805,AccFA,,1,2,,10,36.56428,
46.740993,ArrCl,AccFA 46.740993  |   ArrCl 57.23072,1,2,,11,36.56428,
46.740993,AccFA,,1,3,,11,36.56428,
48.733364,DepCl,AccSrv 48.733364,0,2,,11,36.56428,
48.733364,AccSrv,DepCl 53.893364,0,4,,11,51.861755,
53.893364,DepCl,AccSrv 53.893364,0,3,,11,51.861755,
53.893364,AccSrv,DepCl 59.053364,0,3,,11,65.00496,
57.23072,ArrCl,AccFA 57.23072  |   ArrCl 60.725925,1,3,,12,65.00496,
57.23072,AccFA,,1,2,,12,65.00496,
59.053364,DepCl,AccSrv 59.053364,0,2,,12,65.00496,
59.053364,AccSrv,DepCl 64.21336,0,3,,12,79.88027,
60.725925,ArrCl,AccFA 60.725925  |   ArrCl 65.19195,1,2,,13,79.88027,
60.725925,AccFA,,1,2,,13,79.88027,
64.21336,DepCl,AccSrv 64.21336,0,2,,13,79.88027,
64.21336,AccSrv,DepCl 69.37337,0,3,,13,97.352646,
65.19195,ArrCl,AccFA 65.19195  |   ArrCl 67.9123,1,2,,14,97.352646,
65.19195,AccFA,,1,2,,14,97.352646,
67.9123,ArrCl,AccFA 67.9123  |   ArrCl 68.125015,1,2,,15,97.352646,
67.9123,AccFA,,1,3,,15,97.352646,
68.125015,ArrCl,AccFA 68.125015  |   ArrCl 68.88017,1,3,,16,97.352646,
68.125015,AccFA,,1,4,,16,97.352646,
68.88017,ArrCl,AccFA 68.88017  |   ArrCl 76.76277,1,4,,17,97.352646,
